Using gpu device 0: GeForce GTX 980
... loading data
<CudaNdarray object at 0x7f489292fbf0>
[0 0 0 ..., 3 3 2]
... building the model
... training
     epoch 132, minibatch 1750/1750, test error of best model 1.600000 %
epoch 133, minibatch 1750/1750, validation error 1.746667 %
epoch 134, minibatch 1750/1750, validation error 1.426667 %
epoch 135, minibatch 1750/1750, validation error 1.626667 %
epoch 136, minibatch 1750/1750, validation error 1.640000 %
epoch 137, minibatch 1750/1750, validation error 1.413333 %
epoch 138, minibatch 1750/1750, validation error 1.426667 %
epoch 139, minibatch 1750/1750, validation error 1.306667 %
     epoch 139, minibatch 1750/1750, test error of best model 1.613333 %
epoch 140, minibatch 1750/1750, validation error 2.200000 %
epoch 141, minibatch 1750/1750, validation error 2.320000 %
epoch 142, minibatch 1750/1750, validation error 1.733333 %
epoch 143, minibatch 1750/1750, validation error 1.960000 %
epoch 144, minibatch 1750/1750, validation error 1.733333 %
epoch 145, minibatch 1750/1750, validation error 1.653333 %
epoch 146, minibatch 1750/1750, validation error 1.733333 %
epoch 147, minibatch 1750/1750, validation error 2.000000 %
epoch 148, minibatch 1750/1750, validation error 2.066667 %
epoch 149, minibatch 1750/1750, validation error 1.373333 %
epoch 150, minibatch 1750/1750, validation error 1.813333 %
epoch 151, minibatch 1750/1750, validation error 1.533333 %
epoch 152, minibatch 1750/1750, validation error 1.546667 %
epoch 153, minibatch 1750/1750, validation error 1.666667 %
epoch 154, minibatch 1750/1750, validation error 1.840000 %
epoch 155, minibatch 1750/1750, validation error 1.693333 %
epoch 156, minibatch 1750/1750, validation error 1.613333 %
epoch 157, minibatch 1750/1750, validation error 1.826667 %
epoch 158, minibatch 1750/1750, validation error 1.280000 %
     epoch 158, minibatch 1750/1750, test error of best model 1.560000 %
epoch 159, minibatch 1750/1750, validation error 1.306667 %
epoch 160, minibatch 1750/1750, validation error 1.746667 %
epoch 161, minibatch 1750/1750, validation error 1.960000 %
epoch 162, minibatch 1750/1750, validation error 1.693333 %
epoch 163, minibatch 1750/1750, validation error 1.626667 %
epoch 164, minibatch 1750/1750, validation error 1.706667 %
epoch 165, minibatch 1750/1750, validation error 1.840000 %
epoch 166, minibatch 1750/1750, validation error 1.866667 %
epoch 167, minibatch 1750/1750, validation error 1.400000 %
epoch 168, minibatch 1750/1750, validation error 1.440000 %
epoch 169, minibatch 1750/1750, validation error 1.986667 %
epoch 170, minibatch 1750/1750, validation error 1.573333 %
epoch 171, minibatch 1750/1750, validation error 1.373333 %
epoch 172, minibatch 1750/1750, validation error 1.293333 %
epoch 173, minibatch 1750/1750, validation error 1.533333 %
epoch 174, minibatch 1750/1750, validation error 1.573333 %
epoch 175, minibatch 1750/1750, validation error 1.706667 %
epoch 176, minibatch 1750/1750, validation error 1.493333 %
epoch 177, minibatch 1750/1750, validation error 1.586667 %
epoch 178, minibatch 1750/1750, validation error 1.306667 %
epoch 179, minibatch 1750/1750, validation error 1.480000 %
epoch 180, minibatch 1750/1750, validation error 1.786667 %
epoch 181, minibatch 1750/1750, validation error 1.373333 %
epoch 182, minibatch 1750/1750, validation error 1.480000 %
epoch 183, minibatch 1750/1750, validation error 1.760000 %
epoch 184, minibatch 1750/1750, validation error 1.893333 %
epoch 185, minibatch 1750/1750, validation error 1.866667 %
epoch 186, minibatch 1750/1750, validation error 1.293333 %
epoch 187, minibatch 1750/1750, validation error 1.826667 %
epoch 188, minibatch 1750/1750, validation error 1.866667 %
epoch 189, minibatch 1750/1750, validation error 1.440000 %
epoch 190, minibatch 1750/1750, validation error 1.866667 %
epoch 191, minibatch 1750/1750, validation error 1.960000 %
epoch 192, minibatch 1750/1750, validation error 1.733333 %
epoch 193, minibatch 1750/1750, validation error 1.520000 %
epoch 194, minibatch 1750/1750, validation error 1.986667 %
epoch 195, minibatch 1750/1750, validation error 1.573333 %
epoch 196, minibatch 1750/1750, validation error 1.533333 %
epoch 197, minibatch 1750/1750, validation error 1.826667 %
epoch 198, minibatch 1750/1750, validation error 1.880000 %
epoch 199, minibatch 1750/1750, validation error 1.320000 %
epoch 200, minibatch 1750/1750, validation error 1.520000 %
epoch 201, minibatch 1750/1750, validation error 1.533333 %
epoch 202, minibatch 1750/1750, validation error 1.400000 %
epoch 203, minibatch 1750/1750, validation error 1.360000 %
epoch 204, minibatch 1750/1750, validation error 1.680000 %
epoch 205, minibatch 1750/1750, validation error 1.480000 %
epoch 206, minibatch 1750/1750, validation error 1.720000 %
epoch 207, minibatch 1750/1750, validation error 1.400000 %
epoch 208, minibatch 1750/1750, validation error 1.613333 %
epoch 209, minibatch 1750/1750, validation error 1.373333 %
epoch 210, minibatch 1750/1750, validation error 1.533333 %
epoch 211, minibatch 1750/1750, validation error 1.693333 %
epoch 212, minibatch 1750/1750, validation error 1.400000 %
epoch 213, minibatch 1750/1750, validation error 1.440000 %
epoch 214, minibatch 1750/1750, validation error 1.346667 %
epoch 215, minibatch 1750/1750, validation error 1.520000 %
epoch 216, minibatch 1750/1750, validation error 1.506667 %
epoch 217, minibatch 1750/1750, validation error 1.613333 %
epoch 218, minibatch 1750/1750, validation error 1.586667 %
epoch 219, minibatch 1750/1750, validation error 1.613333 %
epoch 220, minibatch 1750/1750, validation error 1.720000 %
epoch 221, minibatch 1750/1750, validation error 1.706667 %
epoch 222, minibatch 1750/1750, validation error 1.680000 %
epoch 223, minibatch 1750/1750, validation error 1.786667 %
epoch 224, minibatch 1750/1750, validation error 1.586667 %
epoch 225, minibatch 1750/1750, validation error 1.466667 %
epoch 226, minibatch 1750/1750, validation error 1.533333 %
epoch 227, minibatch 1750/1750, validation error 1.373333 %
epoch 228, minibatch 1750/1750, validation error 1.626667 %
epoch 229, minibatch 1750/1750, validation error 1.493333 %
epoch 230, minibatch 1750/1750, validation error 1.533333 %
epoch 231, minibatch 1750/1750, validation error 1.640000 %
epoch 232, minibatch 1750/1750, validation error 1.880000 %
epoch 233, minibatch 1750/1750, validation error 2.013333 %
epoch 234, minibatch 1750/1750, validation error 1.386667 %
epoch 235, minibatch 1750/1750, validation error 1.586667 %
epoch 236, minibatch 1750/1750, validation error 1.760000 %
epoch 237, minibatch 1750/1750, validation error 1.253333 %
     epoch 237, minibatch 1750/1750, test error of best model 1.666667 %
epoch 238, minibatch 1750/1750, validation error 1.800000 %
epoch 239, minibatch 1750/1750, validation error 1.573333 %
epoch 240, minibatch 1750/1750, validation error 1.693333 %
epoch 241, minibatch 1750/1750, validation error 1.666667 %
epoch 242, minibatch 1750/1750, validation error 1.666667 %
epoch 243, minibatch 1750/1750, validation error 1.600000 %
epoch 244, minibatch 1750/1750, validation error 1.346667 %
epoch 245, minibatch 1750/1750, validation error 1.626667 %
epoch 246, minibatch 1750/1750, validation error 1.813333 %
epoch 247, minibatch 1750/1750, validation error 1.720000 %
epoch 248, minibatch 1750/1750, validation error 1.506667 %
epoch 249, minibatch 1750/1750, validation error 1.373333 %
epoch 250, minibatch 1750/1750, validation error 1.586667 %
epoch 251, minibatch 1750/1750, validation error 1.973333 %
epoch 252, minibatch 1750/1750, validation error 1.333333 %
epoch 253, minibatch 1750/1750, validation error 1.586667 %
epoch 254, minibatch 1750/1750, validation error 1.666667 %
epoch 255, minibatch 1750/1750, validation error 1.400000 %
epoch 256, minibatch 1750/1750, validation error 1.386667 %
epoch 257, minibatch 1750/1750, validation error 1.626667 %
epoch 258, minibatch 1750/1750, validation error 1.400000 %
epoch 259, minibatch 1750/1750, validation error 1.733333 %
epoch 260, minibatch 1750/1750, validation error 1.520000 %
epoch 261, minibatch 1750/1750, validation error 1.693333 %
epoch 262, minibatch 1750/1750, validation error 1.520000 %
epoch 263, minibatch 1750/1750, validation error 1.973333 %
epoch 264, minibatch 1750/1750, validation error 1.773333 %
epoch 265, minibatch 1750/1750, validation error 1.413333 %
epoch 266, minibatch 1750/1750, validation error 1.640000 %
epoch 267, minibatch 1750/1750, validation error 1.693333 %
epoch 268, minibatch 1750/1750, validation error 2.106667 %
epoch 269, minibatch 1750/1750, validation error 1.893333 %
epoch 270, minibatch 1750/1750, validation error 1.960000 %
epoch 271, minibatch 1750/1750, validation error 1.933333 %
epoch 272, minibatch 1750/1750, validation error 1.666667 %
epoch 273, minibatch 1750/1750, validation error 1.853333 %
epoch 274, minibatch 1750/1750, validation error 2.146667 %
epoch 275, minibatch 1750/1750, validation error 1.480000 %
epoch 276, minibatch 1750/1750, validation error 1.546667 %
epoch 277, minibatch 1750/1750, validation error 1.146667 %
     epoch 277, minibatch 1750/1750, test error of best model 1.440000 %
epoch 278, minibatch 1750/1750, validation error 1.320000 %
epoch 279, minibatch 1750/1750, validation error 1.866667 %
epoch 280, minibatch 1750/1750, validation error 1.680000 %
epoch 281, minibatch 1750/1750, validation error 1.653333 %
epoch 282, minibatch 1750/1750, validation error 1.440000 %
epoch 283, minibatch 1750/1750, validation error 1.386667 %
epoch 284, minibatch 1750/1750, validation error 1.293333 %
epoch 285, minibatch 1750/1750, validation error 1.640000 %
epoch 286, minibatch 1750/1750, validation error 1.680000 %
epoch 287, minibatch 1750/1750, validation error 1.506667 %
epoch 288, minibatch 1750/1750, validation error 1.493333 %
epoch 289, minibatch 1750/1750, validation error 1.586667 %
epoch 290, minibatch 1750/1750, validation error 1.746667 %
epoch 291, minibatch 1750/1750, validation error 1.546667 %
epoch 292, minibatch 1750/1750, validation error 2.093333 %
epoch 293, minibatch 1750/1750, validation error 1.426667 %
epoch 294, minibatch 1750/1750, validation error 1.466667 %
epoch 295, minibatch 1750/1750, validation error 1.400000 %
epoch 296, minibatch 1750/1750, validation error 1.506667 %
epoch 297, minibatch 1750/1750, validation error 1.533333 %
epoch 298, minibatch 1750/1750, validation error 1.920000 %
epoch 299, minibatch 1750/1750, validation error 1.773333 %
epoch 300, minibatch 1750/1750, validation error 1.760000 %
epoch 301, minibatch 1750/1750, validation error 1.346667 %
epoch 302, minibatch 1750/1750, validation error 1.586667 %
epoch 303, minibatch 1750/1750, validation error 1.733333 %
epoch 304, minibatch 1750/1750, validation error 1.866667 %
epoch 305, minibatch 1750/1750, validation error 1.773333 %
epoch 306, minibatch 1750/1750, validation error 2.226667 %
epoch 307, minibatch 1750/1750, validation error 2.160000 %
epoch 308, minibatch 1750/1750, validation error 1.573333 %
epoch 309, minibatch 1750/1750, validation error 1.613333 %
epoch 310, minibatch 1750/1750, validation error 1.493333 %
epoch 311, minibatch 1750/1750, validation error 2.013333 %
epoch 312, minibatch 1750/1750, validation error 1.640000 %
epoch 313, minibatch 1750/1750, validation error 1.533333 %
epoch 314, minibatch 1750/1750, validation error 1.613333 %
epoch 315, minibatch 1750/1750, validation error 1.226667 %
epoch 316, minibatch 1750/1750, validation error 1.946667 %
epoch 317, minibatch 1750/1750, validation error 1.840000 %
epoch 318, minibatch 1750/1750, validation error 1.800000 %
epoch 319, minibatch 1750/1750, validation error 1.373333 %
epoch 320, minibatch 1750/1750, validation error 1.546667 %
epoch 321, minibatch 1750/1750, validation error 1.706667 %
epoch 322, minibatch 1750/1750, validation error 1.666667 %
epoch 323, minibatch 1750/1750, validation error 1.640000 %
epoch 324, minibatch 1750/1750, validation error 1.813333 %
epoch 325, minibatch 1750/1750, validation error 1.533333 %
epoch 326, minibatch 1750/1750, validation error 1.546667 %
epoch 327, minibatch 1750/1750, validation error 1.706667 %
epoch 328, minibatch 1750/1750, validation error 1.360000 %
epoch 329, minibatch 1750/1750, validation error 1.493333 %
epoch 330, minibatch 1750/1750, validation error 1.480000 %
epoch 331, minibatch 1750/1750, validation error 1.586667 %
epoch 332, minibatch 1750/1750, validation error 1.600000 %
epoch 333, minibatch 1750/1750, validation error 1.586667 %
epoch 334, minibatch 1750/1750, validation error 1.880000 %
epoch 335, minibatch 1750/1750, validation error 1.800000 %
epoch 336, minibatch 1750/1750, validation error 1.693333 %
epoch 337, minibatch 1750/1750, validation error 1.920000 %
epoch 338, minibatch 1750/1750, validation error 1.800000 %
epoch 339, minibatch 1750/1750, validation error 1.520000 %
epoch 340, minibatch 1750/1750, validation error 2.053333 %
epoch 341, minibatch 1750/1750, validation error 1.680000 %
epoch 342, minibatch 1750/1750, validation error 1.453333 %
epoch 343, minibatch 1750/1750, validation error 1.960000 %
epoch 344, minibatch 1750/1750, validation error 1.626667 %
epoch 345, minibatch 1750/1750, validation error 1.693333 %
epoch 346, minibatch 1750/1750, validation error 1.626667 %
epoch 347, minibatch 1750/1750, validation error 1.533333 %
epoch 348, minibatch 1750/1750, validation error 1.600000 %
epoch 349, minibatch 1750/1750, validation error 1.533333 %
epoch 350, minibatch 1750/1750, validation error 1.640000 %
epoch 351, minibatch 1750/1750, validation error 1.853333 %
epoch 352, minibatch 1750/1750, validation error 1.626667 %
epoch 353, minibatch 1750/1750, validation error 1.800000 %
epoch 354, minibatch 1750/1750, validation error 1.600000 %
epoch 355, minibatch 1750/1750, validation error 1.640000 %
epoch 356, minibatch 1750/1750, validation error 1.706667 %
epoch 357, minibatch 1750/1750, validation error 1.960000 %
epoch 358, minibatch 1750/1750, validation error 1.640000 %
epoch 359, minibatch 1750/1750, validation error 1.533333 %
epoch 360, minibatch 1750/1750, validation error 1.466667 %
epoch 361, minibatch 1750/1750, validation error 1.626667 %
epoch 362, minibatch 1750/1750, validation error 1.826667 %
epoch 363, minibatch 1750/1750, validation error 1.533333 %
epoch 364, minibatch 1750/1750, validation error 1.706667 %
epoch 365, minibatch 1750/1750, validation error 1.586667 %
epoch 366, minibatch 1750/1750, validation error 1.653333 %
epoch 367, minibatch 1750/1750, validation error 1.786667 %
epoch 368, minibatch 1750/1750, validation error 1.653333 %
epoch 369, minibatch 1750/1750, validation error 2.066667 %
epoch 370, minibatch 1750/1750, validation error 1.440000 %
epoch 371, minibatch 1750/1750, validation error 1.533333 %
epoch 372, minibatch 1750/1750, validation error 1.706667 %
epoch 373, minibatch 1750/1750, validation error 1.653333 %
epoch 374, minibatch 1750/1750, validation error 1.586667 %
epoch 375, minibatch 1750/1750, validation error 1.426667 %
epoch 376, minibatch 1750/1750, validation error 1.626667 %
epoch 377, minibatch 1750/1750, validation error 1.520000 %
epoch 378, minibatch 1750/1750, validation error 1.813333 %
epoch 379, minibatch 1750/1750, validation error 1.520000 %
epoch 380, minibatch 1750/1750, validation error 1.786667 %
epoch 381, minibatch 1750/1750, validation error 1.626667 %
epoch 382, minibatch 1750/1750, validation error 1.586667 %
epoch 383, minibatch 1750/1750, validation error 1.853333 %
epoch 384, minibatch 1750/1750, validation error 1.506667 %
epoch 385, minibatch 1750/1750, validation error 1.760000 %
epoch 386, minibatch 1750/1750, validation error 1.466667 %
epoch 387, minibatch 1750/1750, validation error 1.426667 %
epoch 388, minibatch 1750/1750, validation error 1.813333 %
epoch 389, minibatch 1750/1750, validation error 1.493333 %
epoch 390, minibatch 1750/1750, validation error 1.480000 %
epoch 391, minibatch 1750/1750, validation error 1.440000 %
epoch 392, minibatch 1750/1750, validation error 1.600000 %
epoch 393, minibatch 1750/1750, validation error 1.520000 %
epoch 394, minibatch 1750/1750, validation error 1.933333 %
epoch 395, minibatch 1750/1750, validation error 1.440000 %
epoch 396, minibatch 1750/1750, validation error 1.360000 %
epoch 397, minibatch 1750/1750, validation error 1.640000 %
epoch 398, minibatch 1750/1750, validation error 1.440000 %
epoch 399, minibatch 1750/1750, validation error 1.693333 %
epoch 400, minibatch 1750/1750, validation error 1.546667 %
epoch 401, minibatch 1750/1750, validation error 1.733333 %
epoch 402, minibatch 1750/1750, validation error 1.786667 %
epoch 403, minibatch 1750/1750, validation error 1.853333 %
epoch 404, minibatch 1750/1750, validation error 1.520000 %
epoch 405, minibatch 1750/1750, validation error 1.573333 %
epoch 406, minibatch 1750/1750, validation error 2.000000 %
epoch 407, minibatch 1750/1750, validation error 1.493333 %
epoch 408, minibatch 1750/1750, validation error 1.453333 %
epoch 409, minibatch 1750/1750, validation error 1.493333 %
epoch 410, minibatch 1750/1750, validation error 1.560000 %
epoch 411, minibatch 1750/1750, validation error 1.813333 %
epoch 412, minibatch 1750/1750, validation error 1.733333 %
epoch 413, minibatch 1750/1750, validation error 1.880000 %
epoch 414, minibatch 1750/1750, validation error 1.946667 %
epoch 415, minibatch 1750/1750, validation error 1.653333 %
epoch 416, minibatch 1750/1750, validation error 1.906667 %
epoch 417, minibatch 1750/1750, validation error 1.760000 %
epoch 418, minibatch 1750/1750, validation error 1.546667 %
epoch 419, minibatch 1750/1750, validation error 1.960000 %
epoch 420, minibatch 1750/1750, validation error 1.693333 %
epoch 421, minibatch 1750/1750, validation error 1.573333 %
epoch 422, minibatch 1750/1750, validation error 1.560000 %
epoch 423, minibatch 1750/1750, validation error 2.120000 %
epoch 424, minibatch 1750/1750, validation error 1.546667 %
epoch 425, minibatch 1750/1750, validation error 2.040000 %
epoch 426, minibatch 1750/1750, validation error 1.800000 %
epoch 427, minibatch 1750/1750, validation error 1.706667 %
epoch 428, minibatch 1750/1750, validation error 1.693333 %
epoch 429, minibatch 1750/1750, validation error 1.466667 %
epoch 430, minibatch 1750/1750, validation error 1.800000 %
epoch 431, minibatch 1750/1750, validation error 1.733333 %
