Using gpu device 0: GeForce GTX 980
... loading data
... building the model
... training
epoch 254, minibatch 5000/5000, validation error 12.520000 %
epoch 255, minibatch 5000/5000, validation error 12.490000 %
epoch 256, minibatch 5000/5000, validation error 12.370000 %
epoch 257, minibatch 5000/5000, validation error 12.750000 %
epoch 258, minibatch 5000/5000, validation error 13.330000 %
epoch 259, minibatch 5000/5000, validation error 13.830000 %
epoch 260, minibatch 5000/5000, validation error 14.260000 %
epoch 261, minibatch 5000/5000, validation error 14.670000 %
epoch 262, minibatch 5000/5000, validation error 14.570000 %
epoch 263, minibatch 5000/5000, validation error 14.780000 %
epoch 264, minibatch 5000/5000, validation error 15.080000 %
epoch 265, minibatch 5000/5000, validation error 15.100000 %
epoch 266, minibatch 5000/5000, validation error 15.410000 %
epoch 267, minibatch 5000/5000, validation error 16.000000 %
epoch 268, minibatch 5000/5000, validation error 16.570000 %
epoch 269, minibatch 5000/5000, validation error 17.360000 %
epoch 270, minibatch 5000/5000, validation error 17.880000 %
epoch 271, minibatch 5000/5000, validation error 18.750000 %
epoch 272, minibatch 5000/5000, validation error 18.960000 %
epoch 273, minibatch 5000/5000, validation error 19.750000 %
epoch 274, minibatch 5000/5000, validation error 20.070000 %
epoch 275, minibatch 5000/5000, validation error 20.080000 %
epoch 276, minibatch 5000/5000, validation error 20.360000 %
epoch 277, minibatch 5000/5000, validation error 20.930000 %
epoch 278, minibatch 5000/5000, validation error 20.540000 %
epoch 279, minibatch 5000/5000, validation error 20.720000 %
epoch 280, minibatch 5000/5000, validation error 20.680000 %
epoch 281, minibatch 5000/5000, validation error 20.370000 %
epoch 282, minibatch 5000/5000, validation error 20.260000 %
epoch 283, minibatch 5000/5000, validation error 20.470000 %
epoch 284, minibatch 5000/5000, validation error 20.490000 %
epoch 285, minibatch 5000/5000, validation error 20.480000 %
epoch 286, minibatch 5000/5000, validation error 20.450000 %
epoch 287, minibatch 5000/5000, validation error 20.660000 %
epoch 288, minibatch 5000/5000, validation error 20.620000 %
epoch 289, minibatch 5000/5000, validation error 21.020000 %
epoch 290, minibatch 5000/5000, validation error 20.750000 %
epoch 291, minibatch 5000/5000, validation error 20.950000 %
epoch 292, minibatch 5000/5000, validation error 20.870000 %
epoch 293, minibatch 5000/5000, validation error 21.040000 %
epoch 294, minibatch 5000/5000, validation error 20.960000 %
epoch 295, minibatch 5000/5000, validation error 21.160000 %
epoch 296, minibatch 5000/5000, validation error 20.930000 %
epoch 297, minibatch 5000/5000, validation error 20.860000 %
epoch 298, minibatch 5000/5000, validation error 20.710000 %
epoch 299, minibatch 5000/5000, validation error 20.460000 %
epoch 300, minibatch 5000/5000, validation error 20.610000 %
epoch 301, minibatch 5000/5000, validation error 20.590000 %
epoch 302, minibatch 5000/5000, validation error 20.300000 %
epoch 303, minibatch 5000/5000, validation error 20.110000 %
epoch 304, minibatch 5000/5000, validation error 20.110000 %
epoch 305, minibatch 5000/5000, validation error 20.170000 %
epoch 306, minibatch 5000/5000, validation error 20.190000 %
epoch 307, minibatch 5000/5000, validation error 20.150000 %
epoch 308, minibatch 5000/5000, validation error 20.090000 %
epoch 309, minibatch 5000/5000, validation error 20.100000 %
epoch 310, minibatch 5000/5000, validation error 20.100000 %
epoch 311, minibatch 5000/5000, validation error 20.000000 %
epoch 312, minibatch 5000/5000, validation error 20.000000 %
epoch 313, minibatch 5000/5000, validation error 19.910000 %
epoch 314, minibatch 5000/5000, validation error 19.910000 %
epoch 315, minibatch 5000/5000, validation error 19.910000 %
epoch 316, minibatch 5000/5000, validation error 20.030000 %
epoch 317, minibatch 5000/5000, validation error 19.910000 %
epoch 318, minibatch 5000/5000, validation error 20.040000 %
epoch 319, minibatch 5000/5000, validation error 20.050000 %
epoch 320, minibatch 5000/5000, validation error 20.050000 %
epoch 321, minibatch 5000/5000, validation error 20.050000 %
epoch 322, minibatch 5000/5000, validation error 20.230000 %
epoch 323, minibatch 5000/5000, validation error 20.390000 %
epoch 324, minibatch 5000/5000, validation error 20.530000 %
epoch 325, minibatch 5000/5000, validation error 20.600000 %
epoch 326, minibatch 5000/5000, validation error 20.700000 %
epoch 327, minibatch 5000/5000, validation error 20.700000 %
epoch 328, minibatch 5000/5000, validation error 20.700000 %
epoch 329, minibatch 5000/5000, validation error 20.840000 %
epoch 330, minibatch 5000/5000, validation error 20.910000 %
epoch 331, minibatch 5000/5000, validation error 20.990000 %
epoch 332, minibatch 5000/5000, validation error 21.000000 %
epoch 333, minibatch 5000/5000, validation error 21.090000 %
epoch 334, minibatch 5000/5000, validation error 20.940000 %
epoch 335, minibatch 5000/5000, validation error 21.140000 %
epoch 336, minibatch 5000/5000, validation error 21.060000 %
epoch 337, minibatch 5000/5000, validation error 21.060000 %
epoch 338, minibatch 5000/5000, validation error 21.290000 %
epoch 339, minibatch 5000/5000, validation error 21.330000 %
epoch 340, minibatch 5000/5000, validation error 21.410000 %
